WGS84 UTM 19N
18.689705516968388 18.74623262602836 27.363
19.50262426258996 19.311794450506568 27.836
20.798900901922025 20.25713468529284 27.606
21.693072267691605 19.73206191509962 27.726
22.694716432248242 20.354303495958447 28.243
-33.58843851380516 -54.32723778951913 33.204
-33.59556925133802 -54.240175450220704 33.219
-33.7251090676873 -54.31101258657873 33.206
-33.70925752003677 -54.41551590338349 33.175
-33.46357171377167 -54.147846372798085 37.733
-35.255006126710214 -50.11383178643882 42.324
-35.39125189743936 -49.91574191395193 43.648
-42.73262070142664 -34.942047990858555 46.188
-51.83026464597788 -16.26252067834139 46.769
-53.92910758382641 -8.44480083603412 46.863
-53.978763406164944 -8.208009719848633 46.767
-53.470133937953506 -7.246139264665544 46.754
-52.30169867200311 -4.308288640342653 46.763
-50.77040265139658 -0.11591035313904285 46.783
-49.71020878886338 3.1496478598564863 46.797
-48.377350132737774 7.1481597842648625 46.788
-47.03145943809068 11.191228611394763 46.801
-45.86007289192639 14.797400414943695 46.8
-44.639760385791305 18.461333417333663 46.796
-43.35352430958301 22.160267057828605 46.82
-42.09285798796918 25.921841479837894 46.804
-41.12852255429607 28.78818262927234 46.805
-40.45202609198168 30.666749658063054 46.8
-29.652980149025097 -3.999842619523406 46.774
-29.657061308971606 -4.046069534495473 46.765
-32.36933224112727 -2.544519710354507 46.762
-37.950773710850626 1.9469873942434788 46.763
-43.99667177896481 9.48432701267302 46.78
-47.48425911081722 18.352679312229156 46.793
-48.38656831620028 26.954367073252797 46.795
-47.14426165318582 35.060859492979944 46.809
-44.19230906764278 42.83412187639624 46.828
-40.091230205842294 50.43084458913654 46.821
-35.49085709662177 56.95660494919866 46.803
-29.533976077800617 62.87096143420786 46.81
-22.6478576437803 67.83872335031629 46.789
-11.63044511602493 57.89925124403089 26.587
-11.526585565181449 57.85674504097551 26.602
-11.602139754919335 57.77343532536179 26.612
-11.6543095545494 57.74886456131935 26.593
-11.068041649297811 57.95939012710005 26.451
-10.12238541780971 58.63025825750083 26.465
-10.198105988325551 58.69549722503871 26.46
-10.137857806286775 58.79930272139609 26.487
-10.071804917766713 58.793192164972425 26.477
-63.327282473503146 -127.63088165968657 130.988
-62.56399433512706 -127.77557819429785 130.957
-60.44252806599252 -128.38140478357673 130.962
-56.609606503741816 -129.49471640307456 130.968
-51.317290297476575 -130.99215865135193 130.965
-44.80408990569413 -132.82726862374693 130.967
-37.25377813249361 -134.93952136673033 130.965
-28.63163154409267 -137.36878666374832 130.986
-19.54966596676968 -139.899746267125 130.986
-9.816381481534336 -142.5904476456344 131.0
0.7506225310498849 -145.52292791102082 131.013
11.33984757779399 -148.42328841146082 131.01
22.584134378819726 -151.54313999507576 131.037
33.7321943823481 -154.66476835682988 131.018
45.32002959633246 -157.8607983123511 131.009
56.30755346850492 -160.84646288864315 131.014
68.12698041682597 -164.08340357150882 130.995
79.45650500629563 -167.22975517902523 130.987
90.35641629097518 -170.15693889465183 131.063
99.17149511678144 -172.06517214979976 130.993
105.16536626277957 -172.21417513489723 130.9
109.73166878090706 -170.2701174300164 130.91
113.36876054416643 -166.11068680230528 130.896
115.76727281033527 -161.12242437060922 130.886
117.7569677043939 -155.21514640375972 130.978
117.9259745873278 -150.21567526645958 130.912
115.60010541405063 -146.39599291235209 130.916
111.43309218494687 -143.7771328277886 130.925
106.53914842871018 -142.14475630503148 130.885
101.04779307974968 -140.50386956706643 130.862
94.07225606194697 -138.44114287849516 130.88
86.1473919589771 -136.187041179277 130.897
76.83544999687001 -133.5509812515229 130.922
67.18204045575112 -130.86285702791065 130.911
56.6117943439167 -127.94017004687339 130.911
46.14160847302992 -125.05254358891398 130.892
35.722762379213236 -122.20330453757197 130.904
24.16542694083182 -118.9924702718854 130.887
12.504333949531429 -115.78155494481325 130.875
1.0716441957629286 -112.6748188463971 130.838
-10.240368822356686 -109.61454954650253 130.851
-21.654422033694573 -106.50591310486197 130.852
-33.17117496562423 -103.35855832602829 130.866
-44.971628752420656 -100.12092107813805 130.878
-55.54117647826206 -97.2429668372497 130.883
-67.01647395000327 -94.08415859565139 130.862
-78.4308577728807 -90.9342015022412 130.869
-89.84497721400112 -87.7840101448819 130.886
-101.22359064314514 -84.62314154300839 130.898
-112.56278059608303 -81.49435826484114 130.916
-123.76458434492815 -78.3538035331294 130.91
-135.26368683180772 -75.17672749981284 130.929
-146.8763501223293 -71.97554473020136 130.901
-158.2868561121286 -68.80633366573602 130.918
-169.06564593629446 -65.83415261376649 131.138
-176.96028182352893 -63.30209020804614 131.026
-181.65788824274205 -60.53432926442474 131.015
-183.9922051760368 -56.36390643939376 131.033
-184.11924966645893 -51.29329172708094 131.026
-182.90514091652585 -46.15999562945217 130.994
-180.8139290131512 -40.4959995849058 131.044
-177.75957910297439 -36.13467462360859 131.001
-173.1790145052364 -34.11094073019922 131.014
-167.91205459274352 -34.293708459474146 131.014
-162.7230946031632 -35.39865725021809 130.975
-154.59301701467484 -37.51701425202191 130.961
-148.42862309888005 -39.21709403861314 130.957
-140.3314650427783 -41.471926485188305 130.962
-131.29502230824437 -43.95933530665934 130.959
-121.45770072611049 -46.67582298256457 130.962
-111.25611259375 -49.49826225824654 130.97
-100.48234301351476 -52.47434074245393 130.98
-89.33862389950082 -55.55895459931344 130.973
